sasdate,Inflation
1992-01-05,0.21497679364923528
1992-01-06,0.2859187080045622
1992-01-07,0.28510354308393104
1992-01-08,0.21329549501416523
1992-01-09,0.21284151348259783
1992-01-10,0.42432878378662053
1992-01-11,0.28188884064199726
1992-01-12,0.14064699927516244
1993-01-01,0.3507544809678187
1993-01-02,0.20986366569202275
1993-01-03,0.1396648271721368
1993-01-04,0.3483110452820348
1993-01-05,0.27777795639023495
1993-01-06,0.06932409289763797
1993-01-07,0.13850417726617437
1993-01-08,0.20739723991294312
1993-01-09,0.1380262468957838
1993-01-10,0.4129393342011234
1993-01-11,0.2743485945750912
1993-01-12,0.20526863177421362
1994-01-01,0.0
1994-01-02,0.2730377122857064
1994-01-03,0.2722942458456501
1994-01-04,0.06795786873841081
1994-01-05,0.20359694850986543
1994-01-06,0.2708193936879155
1994-01-07,0.33749610165259014
1994-01-08,0.4034975212179326
1994-01-09,0.20113985996852435
1994-01-10,0.06695681535724418
1994-01-11,0.2673798384402737
1994-01-12,0.20006675562962428
1995-01-01,0.2661345549514138
1995-01-02,0.26542815848733525
1995-01-03,0.1986097971629519
1995-01-04,0.3960401216096976
1995-01-05,0.19743343037168515
1995-01-06,0.19704439872993973
1995-01-07,0.13114755978103076
1995-01-08,0.19639940846598591
1995-01-09,0.13071897286218714
1995-01-10,0.2609264363613306
1995-01-11,0.13020835172987688
1995-01-12,0.13003903002832828
1996-01-01,0.5184716734186523
1996-01-02,0.1937359340226763
1996-01-03,0.32206147000417573
1996-01-04,0.38510959020978675
1996-01-05,0.19200005898243333
1996-01-06,0.19163212507642413
1996-01-07,0.1912655986332723
1996-01-08,0.12730746467983778
1996-01-09,0.31756139738865485
1996-01-10,0.31655613645611425
1996-01-11,0.31555721988096863
1996-01-12,0.25173078113773784
1997-01-01,0.18838310123738822
1997-01-02,0.188028886485192
1997-01-03,0.06259781112074592
1997-01-04,0.06255865077342548
1997-01-05,0.0
1997-01-06,0.18744147943507983
1997-01-07,0.12476607981550814
1997-01-08,0.24906613124517918
1997-01-09,0.24844733276614406
1997-01-10,0.18593125901835705
1997-01-11,0.12376239203497619
1997-01-12,0.061823804133087634
1998-01-01,0.1235330607991969
1998-01-02,0.0
1998-01-03,0.0
1998-01-04,0.1233806448929009
1998-01-05,0.2463055432397887
1998-01-06,0.12292564547298213
1998-01-07,0.24539889615660115
1998-01-08,0.12247398958962208
1998-01-09,0.061180791140547086
1998-01-10,0.24434954124759045
1998-01-11,0.12195123462612756
1998-01-12,0.1826484526034733
1999-01-01,0.1823154561514606
1999-01-02,0.0
1999-01-03,0.060698029177697066
1999-01-04,0.6652579721027507
1999-01-05,0.060259116014460545
1999-01-06,0.0
1999-01-07,0.42080014002046084
1999-01-08,0.2396645844600087
1999-01-09,0.41803584317579023
1999-01-10,0.17862463814637408
1999-01-11,0.1783061393656027
1999-01-12,0.23724803536309125
2000-01-01,0.29577069772326325
2000-01-02,0.4126147911172495
2000-01-03,0.5865119452398204
2000-01-04,-0.05849663811146044
2000-01-05,0.17538735860958
2000-01-06,0.582412828598855
2000-01-07,0.289939315900245
2000-01-08,0.0
2000-01-09,0.519781707361755
2000-01-10,0.1726619133987306
2000-01-11,0.17236430581650808
2000-01-12,0.2293578987099032
2001-01-01,0.5711037795514962
2001-01-02,0.22753138371349735
2001-01-03,0.05680204640086117
2001-01-04,0.17021280705309394
2001-01-05,0.5089069507471677
2001-01-06,0.2253522080443382
2001-01-07,-0.1689665285127262
2001-01-08,0.0
2001-01-09,0.39381204201376363
2001-01-10,-0.2811359737546759
2001-01-11,-0.05632216425990322
2001-01-12,-0.056353903999184496
2002-01-01,0.1689665285127262
2002-01-02,0.1686815131479058
2002-01-03,0.2805050927608299
2002-01-04,0.447177939139376
2002-01-05,0.11148273172461032
2002-01-06,0.05569479397662391
2002-01-07,0.22246950221109785
2002-01-08,0.2773926882725597
2002-01-09,0.16606701851404893
2002-01-10,0.22099456508026805
2002-01-11,0.16542600960258724
2002-01-12,0.16515280384732378
2003-01-01,0.43907864174901334
2003-01-02,0.5461510025521754
2003-01-03,0.16326534238855217
2003-01-04,-0.38136793702454597
2003-01-05,-0.16388968432101692
2003-01-06,0.10928962836445066
2003-01-07,0.3271540540615625
2003-01-08,0.43454712595014655
2003-01-09,0.32467560988704847
2003-01-10,-0.10810811863732894
2003-01-11,0.05406866852455394
2003-01-12,0.269905696916517
2004-01-01,0.43033955600533247
2004-01-02,0.2144772940133599
2004-01-03,0.21401827323677125
2004-01-04,0.160213652427732
2004-01-05,0.4259857346958107
2004-01-06,0.3712547356184537
2004-01-07,0.10582011569475469
2004-01-08,0.05286809533657788
2004-01-09,0.31662295580501265
2004-01-10,0.5254872838358793
2004-01-11,0.47058910374122576
2004-01-12,0.0
2005-01-01,-0.052178451483886334
2005-01-02,0.4166672694846163
2005-01-03,0.36316512028626846
2005-01-04,0.3102380978481811
2005-01-05,-0.05163955704734491
2005-01-06,0.05163955704734491
2005-01-07,0.6176036100564275
2005-01-08,0.6138126688785661
2005-01-09,1.3674561020173392
2005-01-10,0.15079168476770377
2005-01-11,-0.5035257365645585
2005-01-12,0.0
2006-01-01,0.6039273514243604
2006-01-02,0.05016303089888652
2006-01-03,0.1503382894031624
2006-01-04,0.4995015380522716
2006-01-05,0.298507684345406
2006-01-06,0.24807752737627808
2006-01-07,0.5436138912259914
2006-01-08,0.4425873956855675
2006-01-09,-0.4918849071596121
2006-01-10,-0.44477463982364185
2006-01-11,0.049517208241312005
2006-01-12,0.543077118513402
2007-01-01,0.16579060562325054
