sasdate,Actual inflation,OLS_Predicted,SVR_Predicted,XGBoost_Predicted,Randomforest_Predicted
09-16,0.2619775184768969,0.17484145689677372,0.27632673596827284,0.36152706,0.23637384520997134
10-16,0.2339947683755561,0.19065683384649315,0.21073892674328715,0.356549,0.24259736152813446
11-16,0.1178253303642407,0.16581764378661534,0.18209075945380568,0.29209194,0.15202083901746447
12-16,0.2521340905682123,0.014930744026252163,0.07390019139886671,0.21269889,0.049518916973673416
01-17,0.4034925423658464,0.39899710739383343,0.3602844693207792,0.49682444,0.38900916570508715
02-17,0.1591390423297589,0.1667989972582195,0.25863268863322814,0.35354614,0.2278635714976716
03-17,-0.0467310798874187,0.014697528112936786,0.08066540015379774,0.2311331,0.08367651774602919
04-17,0.123339188116045,0.19010295750605039,0.11234841455849848,0.23394065,0.07182490066396599
05-17,-0.0774277635636089,0.24374276490298075,0.20621458268271303,0.3406998,0.25304327858313624
06-17,0.0651416444055641,0.17797123854185218,0.16112533160095216,0.23929673,0.09278151599394575
07-17,0.0327596306004984,0.2473633202013903,0.2277636662111757,0.35943034,0.2550875551905361
08-17,0.3841239148788311,0.2937056364553189,0.2876252419099584,0.32979733,0.2000457174982177
09-17,0.5093396526107519,0.2871465311107584,0.3016997032133546,0.34216797,0.24813879224542254
10-17,0.0774752047124849,0.3899997982256887,0.28671211812605824,0.3006117,0.24504560555944874
11-17,0.2664454614319744,0.05197997673286242,0.09772059247189407,0.26161024,0.0673062317167193
12-17,0.2104672866173551,0.30138435377368655,0.26270891400815466,0.34712812,0.2313556023210306
01-18,0.4244324461827986,0.2188601681877534,0.22107490098408664,0.2940436,0.1744676567937102
02-18,0.2688669886177663,0.4324896175105971,0.35455645084097276,0.35150188,0.29674424293265567
03-18,0.0192343911505687,0.09791467778117827,0.15516262015228632,0.25523818,0.11676650849352158
04-18,0.2601021066075404,0.07982789900136536,0.11377365493667821,0.25412306,0.06804394619718016
05-18,0.2255404443766373,0.29983896330593507,0.27323875915396484,0.36283132,0.3129607494786714
06-18,0.0900739384547932,0.07019078751425842,0.13408939051494567,0.28798863,0.11479368406137766
07-18,0.0780515817194071,0.11715879368811485,0.11863803740407494,0.25435764,0.10286509875488727
08-18,0.1785725413231631,0.24573414428706597,0.19803766978776405,0.3357241,0.19227979246958185
09-18,0.2060158118324828,0.2083058694085031,0.17611363607745353,0.31166837,0.18686801010123646
10-18,0.2336847588066071,0.2571207514897263,0.26871630982676664,0.3757826,0.2531457814094262
11-18,-0.070443997958236,0.22259692418738536,0.2639314114130732,0.31902876,0.25262363676157007
12-18,0.0684659112032193,-0.049646740071181056,0.029287833900625976,0.27881286,0.036156701110535046
01-19,-0.0193873211483897,0.0054227683494417755,0.08593788233208288,0.28603643,0.14483584050276893
02-19,0.2387164203727643,0.25466799262737694,0.2460016344457835,0.2862116,0.20337378994888466
03-19,0.3467819775576863,0.3327025174446423,0.2998018805827473,0.33116087,0.2632270157341233
04-19,0.3961427444967746,0.21880712402792812,0.2192253097020374,0.32503274,0.21479306060240977
05-19,0.0309499885918107,0.1933000445821145,0.2395215548430939,0.32734418,0.24408907049878106
06-19,-0.0513273619405119,0.03367108279393516,0.045695020446218815,0.2592912,0.11252928219015919
07-19,0.2059337824821483,0.09347105448427279,0.171066011596686,0.23321553,0.1152061359526044
08-19,0.1461668594401999,0.36234482623263775,0.30713792074437796,0.3719002,0.25574999541938404
09-19,0.1763662005822119,-0.027588625642291115,0.051310664264767075,0.22691554,0.06383499610838014
10-19,0.2853502145456765,0.23532395972388356,0.25883953978788643,0.32854438,0.21943355081853275
11-19,0.2170676538230331,0.176304549446902,0.20209418718632136,0.3280473,0.24058418691837957
12-19,0.3148608674953479,0.22431869749606964,0.23425431742660835,0.2918853,0.1835581099387368
01-20,0.1626572599101372,0.2465732087138109,0.2712785034490308,0.33527738,0.21837129617399606
02-20,0.0814223879360476,0.0810302114528966,0.12337070302683663,0.36639312,0.15686959654656463
03-20,-0.4345042902861529,0.06922216599256056,0.12475770333264341,0.19426908,0.0508310078262148
04-20,-0.7903334695948949,-0.4682617005444041,0.02277298941295361,-0.40666515,-0.6253477647010569
