,R2,RMSE,Correlation
OLS,0.20794709228179664,0.2607150317718175,0.4825596689260987
SVR,0.16174089959487437,0.26821194386409164,0.409963818682004
XGBoost,0.09761295361885713,0.2782821829393957,0.42712987918764767
Random Forest,0.14479637191629824,0.2709091929765167,0.40972226957393615
